"job_title","class_code","soc_code","soc_title","salary_range","department","category","description","source_url"
"Database Administrator","0310","15-1242","Database Administrators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"IT Manager","0315","11-3021","Computer and Information Systems Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"IT Project Manager","0316","13-1198","Project Management Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"IT Security Analyst","0317","15-1212","Information Security Analysts","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"IT Support Specialist","0318","15-1232","Computer User Support Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Network Administrator","0320","15-1244","Network and Computer Systems Administrators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Network Engineer","0321","15-1241","Computer Network Architects","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Software Developer I","0325","15-1252","Software Developers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Software Developer II","0326","15-1252","Software Developers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Software Developer III","0327","15-1252","Software Developers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Systems Analyst I","0330","15-1211","Computer Systems Analysts","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Systems Analyst II","0331","15-1211","Computer Systems Analysts","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Systems Analyst III","0332","15-1211","Computer Systems Analysts","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Web Developer","0340","15-1254","Web Developers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Civil Engineer I","0401","17-2051","Civil Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Civil Engineer II","0402","17-2051","Civil Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Civil Engineer III","0403","17-2051","Civil Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Electrical Engineer I","0410","17-2071","Electrical Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Electrical Engineer II","0411","17-2071","Electrical Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Engineering Technician I","0420","17-3029","Engineering Technicians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Engineering Technician II","0421","17-3029","Engineering Technicians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Environmental Engineer I","0430","17-2081","Environmental Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Environmental Engineer II","0431","17-2081","Environmental Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Highway Engineer","0440","17-2051","Civil Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Mechanical Engineer I","0450","17-2141","Mechanical Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Mechanical Engineer II","0451","17-2141","Mechanical Engineers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Surveyor","0460","17-1022","Surveyors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Survey Technician","0461","17-3031","Surveying and Mapping Technicians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Certified Nursing Assistant","0501","31-1131","Nursing Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Clinical Social Worker","0502","21-1023","Mental Health and Substance Abuse Social Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Dentist","0503","29-1021","Dentists, General","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Dietitian","0504","29-1031","Dietitians and Nutritionists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Health Administrator","0505","11-9111","Medical and Health Services Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Health Educator","0506","21-1091","Health Education Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Health Program Manager","0507","11-9111","Medical and Health Services Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Laboratory Technician","0510","29-2011","Medical and Clinical Laboratory Technologists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Licensed Practical Nurse","0515","29-2061","Licensed Practical Nurses","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Medical Records Technician","0516","29-2072","Medical Records Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Mental Health Counselor","0520","21-1014","Mental Health Counselors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Nurse Practitioner","0525","29-1171","Nurse Practitioners","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Pharmacist","0530","29-1051","Pharmacists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Pharmacy Technician","0531","29-2052","Pharmacy Technicians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Physical Therapist","0535","29-1123","Physical Therapists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Physical Therapy Assistant","0536","31-2021","Physical Therapist Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Physician","0540","29-1216","General Internal Medicine Physicians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Physician Assistant","0541","29-1071","Physician Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Psychologist","0545","19-3031","Clinical and Counseling Psychologists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Public Health Nurse","0550","29-1141","Registered Nurses","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Registered Nurse I","0551","29-1141","Registered Nurses","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Registered Nurse II","0552","29-1141","Registered Nurses","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Registered Nurse III","0553","29-1141","Registered Nurses","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Respiratory Therapist","0555","29-1126","Respiratory Therapists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Social Worker I","0560","21-1021","Child, Family, and School Social Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Social Worker II","0561","21-1021","Child, Family, and School Social Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Social Worker III","0562","21-1021","Child, Family, and School Social Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Speech Pathologist","0565","29-1127","Speech-Language Pathologists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Substance Abuse Counselor","0570","21-1011","Substance Abuse and Behavioral Disorder Counselors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Capitol Police Officer","0601","33-3051","Police and Sheriff's Patrol Officers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Conservation Officer","0602","33-3031","Fish and Game Wardens","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Correctional Officer I","0605","33-3012","Correctional Officers and Jailers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Correctional Officer II","0606","33-3012","Correctional Officers and Jailers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Correctional Sergeant","0607","33-1011","First-Line Supervisors of Correctional Officers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Criminal Investigator","0610","33-3021","Detectives and Criminal Investigators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Deputy Sheriff","0615","33-3051","Police and Sheriff's Patrol Officers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Parole Officer","0620","21-1092","Probation Officers and Correctional Treatment Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Police Officer I","0625","33-3051","Police and Sheriff's Patrol Officers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Police Officer II","0626","33-3051","Police and Sheriff's Patrol Officers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Police Sergeant","0627","33-1012","First-Line Supervisors of Police and Detectives","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Probation Officer I","0630","21-1092","Probation Officers and Correctional Treatment Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Probation Officer II","0631","21-1092","Probation Officers and Correctional Treatment Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"State Trooper","0635","33-3051","Police and Sheriff's Patrol Officers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Youth Services Worker","0640","21-1093","Social and Human Service Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Assistant Attorney General","0701","23-1011","Lawyers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Court Clerk","0702","43-4031","Court, Municipal, and License Clerks","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Court Reporter","0703","23-2091","Court Reporters","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Hearing Examiner","0704","23-1022","Arbitrators, Mediators, and Conciliators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Judge","0705","23-1023","Judges, Magistrate Judges, and Magistrates","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Legal Secretary","0706","43-6012","Legal Secretaries","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Magistrate","0707","23-1023","Judges, Magistrate Judges, and Magistrates","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Paralegal","0708","23-2011","Paralegals and Legal Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Public Defender","0709","23-1011","Lawyers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Staff Attorney","0710","23-1011","Lawyers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Education Specialist","0801","25-9099","Education, Training, and Library Workers, All Other","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Elementary Teacher","0802","25-2021","Elementary School Teachers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"High School Teacher","0803","25-2031","High School Teachers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Librarian I","0810","25-4022","Librarians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Librarian II","0811","25-4022","Librarians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Library Technician","0812","25-4031","Library Technicians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Principal","0815","11-9032","Education Administrators, K-12","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"School Counselor","0820","21-1012","Educational, Guidance, and Career Counselors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"School Psychologist","0821","19-3031","Clinical and Counseling Psychologists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Special Education Teacher","0825","25-2050","Special Education Teachers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Superintendent","0830","11-9033","Education Administrators, Postsecondary","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Teacher Aide","0835","25-9045","Teaching Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Vocational Instructor","0840","25-1194","Career/Technical Education Teachers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Biologist I","0901","19-1020","Biological Scientists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Biologist II","0902","19-1020","Biological Scientists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Environmental Analyst","0905","19-2041","Environmental Scientists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Environmental Inspector","0906","19-4042","Environmental Science Technicians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Environmental Program Manager","0907","11-9121","Natural Sciences Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Fish and Wildlife Biologist","0910","19-1023","Zoologists and Wildlife Biologists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Forester I","0915","19-1032","Foresters","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Forester II","0916","19-1032","Foresters","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Geologist","0920","19-2042","Geoscientists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Hydrologist","0921","19-2043","Hydrologists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Natural Resources Manager","0925","11-9121","Natural Sciences Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Park Manager","0930","11-9121","Natural Sciences Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Park Ranger","0931","33-3031","Fish and Game Wardens","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Water Quality Specialist","0935","19-2041","Environmental Scientists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Benefits Administrator","1001","13-1071","Human Resources Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Classification Analyst","1002","13-1071","Human Resources Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Compensation Analyst","1003","13-1141","Compensation, Benefits, and Job Analysis Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Employee Relations Specialist","1004","13-1071","Human Resources Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"HR Director","1005","11-3121","Human Resources Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"HR Generalist","1006","13-1071","Human Resources Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"HR Manager","1007","11-3121","Human Resources Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Labor Relations Specialist","1010","13-1075","Labor Relations Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Payroll Administrator","1015","43-3051","Payroll and Timekeeping Clerks","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Personnel Analyst","1016","13-1071","Human Resources Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Recruiter","1020","13-1071","Human Resources Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Training Coordinator","1025","13-1151","Training and Development Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Training Specialist","1026","13-1151","Training and Development Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Building Maintenance Worker","1101","49-9071","Maintenance and Repair Workers, General","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Carpenter","1102","47-2031","Carpenters","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Custodian","1103","37-2011","Janitors and Cleaners","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Electrician","1104","47-2111","Electricians","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Equipment Operator","1105","47-2073","Operating Engineers and Other Construction Equipment Operators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Groundskeeper","1106","37-3011","Landscaping and Groundskeeping Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Heavy Equipment Mechanic","1107","49-3042","Mobile Heavy Equipment Mechanics","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Highway Maintenance Worker","1108","47-4051","Highway Maintenance Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"HVAC Technician","1110","49-9021","Heating, Air Conditioning, and Refrigeration Mechanics","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Locksmith","1115","49-9094","Locksmiths and Safe Repairers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Maintenance Supervisor","1116","49-1011","First-Line Supervisors of Mechanics","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Mechanic I","1120","49-3023","Automotive Service Technicians and Mechanics","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Mechanic II","1121","49-3023","Automotive Service Technicians and Mechanics","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Painter","1125","47-2141","Painters, Construction and Maintenance","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Plumber","1130","47-2152","Plumbers, Pipefitters, and Steamfitters","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Welder","1135","51-4121","Welders, Cutters, Solderers, and Brazers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Bus Driver","1201","53-3021","Bus Drivers, Transit and Intercity","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"CDL Driver","1202","53-3032","Heavy and Tractor-Trailer Truck Drivers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Dispatcher","1203","43-5032","Dispatchers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Fleet Manager","1204","11-3071","Transportation, Storage, and Distribution Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"School Bus Driver","1205","53-3022","Bus Drivers, School","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Transportation Manager","1206","11-3071","Transportation, Storage, and Distribution Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Vehicle Inspector","1207","53-6051","Transportation Inspectors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Communications Director","1301","11-2031","Public Relations Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Graphic Designer","1302","27-1024","Graphic Designers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Media Relations Specialist","1303","27-3031","Public Relations Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Public Information Officer","1304","27-3031","Public Relations Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Social Media Coordinator","1305","27-3031","Public Relations Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Web Content Manager","1306","15-1254","Web Developers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Writer/Editor","1307","27-3041","Editors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"911 Dispatcher","1401","43-5031","Public Safety Telecommunicators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Emergency Management Coordinator","1402","11-9161","Emergency Management Directors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Emergency Management Director","1403","11-9161","Emergency Management Directors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Fire Chief","1404","33-1021","First-Line Supervisors of Firefighting","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Fire Inspector","1405","33-2021","Fire Inspectors and Investigators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Firefighter","1406","33-2011","Firefighters","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Paramedic","1407","29-2043","Paramedics","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Case Manager","1501","21-1021","Child, Family, and School Social Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Child Protective Services Worker","1502","21-1021","Child, Family, and School Social Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Community Health Worker","1503","21-1094","Community Health Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Economic Services Worker","1504","43-4061","Eligibility Interviewers, Government Programs","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Eligibility Specialist","1505","43-4061","Eligibility Interviewers, Government Programs","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Family Services Specialist","1506","21-1021","Child, Family, and School Social Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Food Stamp Worker","1507","43-4061","Eligibility Interviewers, Government Programs","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Program Administrator","1510","11-9151","Social and Community Service Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Social Services Director","1511","11-9151","Social and Community Service Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Vocational Rehabilitation Counselor","1515","21-1015","Rehabilitation Counselors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Buyer","1601","13-1023","Purchasing Agents","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Contract Administrator","1602","13-1023","Purchasing Agents","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Inventory Control Specialist","1603","43-5081","Stock Clerks and Order Fillers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Procurement Officer","1604","11-3061","Purchasing Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Purchasing Agent","1605","13-1023","Purchasing Agents","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Warehouse Manager","1606","11-3071","Transportation, Storage, and Distribution Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Warehouse Worker","1607","53-7062","Laborers and Freight, Stock, and Material Movers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Agricultural Inspector","1701","45-2011","Agricultural Inspectors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Building Inspector","1702","47-4011","Construction and Building Inspectors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Compliance Officer","1703","13-1041","Compliance Officers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Electrical Inspector","1704","47-4011","Construction and Building Inspectors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Food Inspector","1705","45-2011","Agricultural Inspectors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Health Inspector","1706","29-9011","Occupational Health and Safety Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"License Examiner","1707","43-4031","Court, Municipal, and License Clerks","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Occupational Safety Inspector","1708","29-9011","Occupational Health and Safety Specialists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Plumbing Inspector","1709","47-4011","Construction and Building Inspectors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Regulatory Analyst","1710","13-1041","Compliance Officers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Tax Compliance Officer","1711","13-1041","Compliance Officers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Administrative Aide","1801","43-6014","Secretaries and Administrative Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Clerk I","1802","43-9061","Office Clerks, General","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Clerk II","1803","43-9061","Office Clerks, General","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Clerk III","1804","43-9061","Office Clerks, General","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
