"JobCode","JobTitleAbbreviation","JobTitleFull","OccupationalGroupText","EEOText","WorkFunction","WorkLevel","SupervisionReceived"
"0220","Budget Analyst I","Budget Analyst I","Budget Analysts","Professionals","Business operations analysis, financial management, and administrative functions","Entry Level","Close - Direct supervision, work reviewed frequently"
"0221","Budget Analyst II","Budget Analyst II","Budget Analysts","Professionals","Business operations analysis, financial management, and administrative functions","Entry Level","Moderate - Regular supervision with some independence"
"0222","Budget Dir","Budget Director","Financial Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Executive","Minimal - Reports to Executive Leadership"
"0230","Financial Examiner","Financial Examiner","Financial Examiners","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"0231","Fiscal Ofcr","Fiscal Officer","Financial Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Professional","Moderate - Regular supervision with some independence"
"0240","Revenue Agent","Revenue Agent","Tax Examiners and Collectors","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"0241","Tax Examiner","Tax Examiner","Tax Examiners and Collectors","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"0301","Computer Operator","Computer Operator","Computer Operators","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"0302","Computer Prgmr I","Computer Programmer I","Computer Programmers","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Close - Direct supervision, work reviewed frequently"
"0303","Computer Prgmr II","Computer Programmer II","Computer Programmers","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Moderate - Regular supervision with some independence"
"0304","Computer Prgmr III","Computer Programmer III","Computer Programmers","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Limited - Works independently with periodic review"
"0310","Database Admin","Database Administrator","Database Administrators","Technicians","Computer systems design, programming, data analysis, and technical support","Management","Moderate - Regular supervision with some independence"
"0315","IT Mgr","IT Manager","Computer and Information Systems Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Entry Level","General - Reports to Director/Executive"
"0316","IT Project Mgr","IT Project Manager","Project Management Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Entry Level","General - Reports to Director/Executive"
"0317","IT Security Analyst","IT Security Analyst","Information Security Analysts","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Close - Direct supervision, work reviewed frequently"
"0318","IT Support Spec","IT Support Specialist","Computer User Support Specialists","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Close - Direct supervision, work reviewed frequently"
"0320","Network Admin","Network Administrator","Network and Computer Systems Administrators","Technicians","Computer systems design, programming, data analysis, and technical support","Management","Moderate - Regular supervision with some independence"
"0321","Network Engr","Network Engineer","Computer Network Architects","Technicians","Computer systems design, programming, data analysis, and technical support","Professional","Moderate - Regular supervision with some independence"
"0325","Software Developer I","Software Developer I","Software Developers","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Close - Direct supervision, work reviewed frequently"
"0326","Software Developer II","Software Developer II","Software Developers","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Moderate - Regular supervision with some independence"
"0327","Software Developer III","Software Developer III","Software Developers","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Limited - Works independently with periodic review"
"0330","Systems Analyst I","Systems Analyst I","Computer Systems Analysts","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Close - Direct supervision, work reviewed frequently"
"0331","Systems Analyst II","Systems Analyst II","Computer Systems Analysts","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Moderate - Regular supervision with some independence"
"0332","Systems Analyst III","Systems Analyst III","Computer Systems Analysts","Technicians","Computer systems design, programming, data analysis, and technical support","Entry Level","Limited - Works independently with periodic review"
"0340","Web Developer","Web Developer","Web Developers","Technicians","Computer systems design, programming, data analysis, and technical support","Professional","Moderate - Regular supervision with some independence"
"0401","Civil Engr I","Civil Engineer I","Civil Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Close - Direct supervision, work reviewed frequently"
"0402","Civil Engr II","Civil Engineer II","Civil Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Moderate - Regular supervision with some independence"
"0403","Civil Engr III","Civil Engineer III","Civil Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Limited - Works independently with periodic review"
"0410","Electrical Engr I","Electrical Engineer I","Electrical Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Close - Direct supervision, work reviewed frequently"
"0411","Electrical Engr II","Electrical Engineer II","Electrical Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Moderate - Regular supervision with some independence"
"0420","Engring Tech I","Engineering Technician I","Engineering Technicians","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Close - Direct supervision, work reviewed frequently"
"0421","Engring Tech II","Engineering Technician II","Engineering Technicians","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Moderate - Regular supervision with some independence"
"0430","Environ Engr I","Environmental Engineer I","Environmental Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Close - Direct supervision, work reviewed frequently"
"0431","Environ Engr II","Environmental Engineer II","Environmental Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Moderate - Regular supervision with some independence"
"0440","Highway Engr","Highway Engineer","Civil Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Professional","Moderate - Regular supervision with some independence"
"0450","Mech Engr I","Mechanical Engineer I","Mechanical Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Close - Direct supervision, work reviewed frequently"
"0451","Mech Engr II","Mechanical Engineer II","Mechanical Engineers","Professionals","Engineering design, analysis, technical planning, and project oversight","Entry Level","Moderate - Regular supervision with some independence"
"0460","Surveyor","Surveyor","Surveyors","Professionals","Engineering design, analysis, technical planning, and project oversight","Professional","Moderate - Regular supervision with some independence"
"0461","Survey Tech","Survey Technician","Surveying and Mapping Technicians","Professionals","Engineering design, analysis, technical planning, and project oversight","Technical","Moderate - Regular supervision with some independence"
"0501","Certified Nursing Asst","Certified Nursing Assistant","Nursing Assistants","Paraprofessionals","Healthcare support, patient assistance, and clinical support services","Support","Close - Direct supervision, work reviewed frequently"
"0502","Clinical Social Worker","Clinical Social Worker","Mental Health and Substance Abuse Social Workers","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"0503","Dentist","Dentist","Dentists, General","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0504","Dietitian","Dietitian","Dietitians and Nutritionists","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0505","Health Admin","Health Administrator","Medical and Health Services Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","Moderate - Regular supervision with some independence"
"0506","Health Educator","Health Educator","Health Education Specialists","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"0507","Health Program Mgr","Health Program Manager","Medical and Health Services Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","General - Reports to Director/Executive"
"0510","Lab Tech","Laboratory Technician","Medical and Clinical Laboratory Technologists","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Technical","Moderate - Regular supervision with some independence"
"0515","Licensed Practical Nurse","Licensed Practical Nurse","Licensed Practical Nurses","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0516","Medical Records Tech","Medical Records Technician","Medical Records Specialists","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Technical","Moderate - Regular supervision with some independence"
"0520","Mental Health Counselor","Mental Health Counselor","Mental Health Counselors","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"0525","Nurse Practitioner","Nurse Practitioner","Nurse Practitioners","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0530","Pharmacist","Pharmacist","Pharmacists","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0531","Pharmacy Tech","Pharmacy Technician","Pharmacy Technicians","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Technical","Moderate - Regular supervision with some independence"
"0535","Physical Therapist","Physical Therapist","Physical Therapists","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0536","Physical Therapy Asst","Physical Therapy Assistant","Physical Therapist Assistants","Paraprofessionals","Healthcare support, patient assistance, and clinical support services","Support","Close - Direct supervision, work reviewed frequently"
"0540","Physician","Physician","General Internal Medicine Physicians","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0541","Physician Asst","Physician Assistant","Physician Assistants","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Support","Close - Direct supervision, work reviewed frequently"
"0545","Psychologist","Psychologist","Clinical and Counseling Psychologists","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Professional","Moderate - Regular supervision with some independence"
"0550","Public Health Nurse","Public Health Nurse","Registered Nurses","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0551","Registered Nurse I","Registered Nurse I","Registered Nurses","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Entry Level","Close - Direct supervision, work reviewed frequently"
"0552","Registered Nurse II","Registered Nurse II","Registered Nurses","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Entry Level","Moderate - Regular supervision with some independence"
"0553","Registered Nurse III","Registered Nurse III","Registered Nurses","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Entry Level","Limited - Works independently with periodic review"
"0555","Respiratory Therapist","Respiratory Therapist","Respiratory Therapists","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0560","Social Worker I","Social Worker I","Child, Family, and School Social Workers","Professionals","Community services, counseling, case management, and social support","Entry Level","Close - Direct supervision, work reviewed frequently"
"0561","Social Worker II","Social Worker II","Child, Family, and School Social Workers","Professionals","Community services, counseling, case management, and social support","Entry Level","Moderate - Regular supervision with some independence"
"0562","Social Worker III","Social Worker III","Child, Family, and School Social Workers","Professionals","Community services, counseling, case management, and social support","Entry Level","Limited - Works independently with periodic review"
"0565","Speech Pathologist","Speech Pathologist","Speech-Language Pathologists","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"0570","Substance Abuse Counselor","Substance Abuse Counselor","Substance Abuse and Behavioral Disorder Counselors","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"0601","Capitol Police Ofcr","Capitol Police Officer","Police and Sheriff's Patrol Officers","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Professional","Moderate - Regular supervision with some independence"
"0602","Conservation Ofcr","Conservation Officer","Fish and Game Wardens","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Professional","Moderate - Regular supervision with some independence"
"0605","Correctional Ofcr I","Correctional Officer I","Correctional Officers and Jailers","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Entry Level","Close - Direct supervision, work reviewed frequently"
"0606","Correctional Ofcr II","Correctional Officer II","Correctional Officers and Jailers","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Entry Level","Moderate - Regular supervision with some independence"
"0607","Correctional Sgt","Correctional Sergeant","First-Line Supervisors of Correctional Officers","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Professional","Moderate - Regular supervision with some independence"
"0610","Criminal Investigator","Criminal Investigator","Detectives and Criminal Investigators","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Entry Level","Close - Direct supervision, work reviewed frequently"
"0615","Deputy Sheriff","Deputy Sheriff","Police and Sheriff's Patrol Officers","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Professional","Moderate - Regular supervision with some independence"
"0620","Parole Ofcr","Parole Officer","Probation Officers and Correctional Treatment Specialists","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"0625","Police Ofcr I","Police Officer I","Police and Sheriff's Patrol Officers","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Entry Level","Close - Direct supervision, work reviewed frequently"
"0626","Police Ofcr II","Police Officer II","Police and Sheriff's Patrol Officers","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Entry Level","Moderate - Regular supervision with some independence"
"0627","Police Sgt","Police Sergeant","First-Line Supervisors of Police and Detectives","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Professional","Moderate - Regular supervision with some independence"
"0630","Probation Ofcr I","Probation Officer I","Probation Officers and Correctional Treatment Specialists","Professionals","Community services, counseling, case management, and social support","Entry Level","Close - Direct supervision, work reviewed frequently"
"0631","Probation Ofcr II","Probation Officer II","Probation Officers and Correctional Treatment Specialists","Professionals","Community services, counseling, case management, and social support","Entry Level","Moderate - Regular supervision with some independence"
"0635","State Trooper","State Trooper","Police and Sheriff's Patrol Officers","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Professional","Moderate - Regular supervision with some independence"
"0640","Youth Svcs Worker","Youth Services Worker","Social and Human Service Assistants","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"0701","Asst Attorney General","Assistant Attorney General","Lawyers","Professionals","Legal analysis, representation, court administration, and compliance","Support","Close - Direct supervision, work reviewed frequently"
"0702","Court Clerk","Court Clerk","Court, Municipal, and License Clerks","Administrative Support","Administrative support, records management, and office operations","Support","Close - Direct supervision, work reviewed frequently"
"0703","Court Reporter","Court Reporter","Court Reporters","Professionals","Legal analysis, representation, court administration, and compliance","Professional","Moderate - Regular supervision with some independence"
"0704","Hearing Examiner","Hearing Examiner","Arbitrators, Mediators, and Conciliators","Professionals","Legal analysis, representation, court administration, and compliance","Professional","Moderate - Regular supervision with some independence"
"0705","Judge","Judge","Judges, Magistrate Judges, and Magistrates","Professionals","Legal analysis, representation, court administration, and compliance","Professional","Moderate - Regular supervision with some independence"
"0706","Legal Secy","Legal Secretary","Legal Secretaries","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"0707","Magistrate","Magistrate","Judges, Magistrate Judges, and Magistrates","Professionals","Legal analysis, representation, court administration, and compliance","Professional","Moderate - Regular supervision with some independence"
"0708","Paralegal","Paralegal","Paralegals and Legal Assistants","Professionals","Legal analysis, representation, court administration, and compliance","Professional","Moderate - Regular supervision with some independence"
"0709","Public Defender","Public Defender","Lawyers","Professionals","Legal analysis, representation, court administration, and compliance","Professional","Moderate - Regular supervision with some independence"
"0710","Staff Attorney","Staff Attorney","Lawyers","Professionals","Legal analysis, representation, court administration, and compliance","Professional","Moderate - Regular supervision with some independence"
"0801","Education Spec","Education Specialist","Education, Training, and Library Workers, All Other","Professionals","Education, instruction, library services, and training delivery","Professional","Limited - Works independently with periodic review"
"0802","Elementary Teacher","Elementary Teacher","Elementary School Teachers","Professionals","Education, instruction, library services, and training delivery","Professional","Moderate - Regular supervision with some independence"
"0803","High School Teacher","High School Teacher","High School Teachers","Professionals","Education, instruction, library services, and training delivery","Professional","Moderate - Regular supervision with some independence"
"0810","Librarian I","Librarian I","Librarians","Professionals","Education, instruction, library services, and training delivery","Entry Level","Close - Direct supervision, work reviewed frequently"
"0811","Librarian II","Librarian II","Librarians","Professionals","Education, instruction, library services, and training delivery","Entry Level","Moderate - Regular supervision with some independence"
"0812","Library Tech","Library Technician","Library Technicians","Professionals","Education, instruction, library services, and training delivery","Technical","Moderate - Regular supervision with some independence"
"0815","Principal","Principal","Education Administrators, K-12","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Professional","Moderate - Regular supervision with some independence"
"0820","School Counselor","School Counselor","Educational, Guidance, and Career Counselors","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"0821","School Psychologist","School Psychologist","Clinical and Counseling Psychologists","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Professional","Moderate - Regular supervision with some independence"
"0825","Special Education Teacher","Special Education Teacher","Special Education Teachers","Professionals","Education, instruction, library services, and training delivery","Professional","Moderate - Regular supervision with some independence"
"0830","Superintendent","Superintendent","Education Administrators, Postsecondary","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Professional","Moderate - Regular supervision with some independence"
"0835","Teacher Aide","Teacher Aide","Teaching Assistants","Professionals","Education, instruction, library services, and training delivery","Entry Level","Close - Direct supervision, work reviewed frequently"
"0840","Vocational Instructor","Vocational Instructor","Career/Technical Education Teachers","Professionals","Education, instruction, library services, and training delivery","Entry Level","Close - Direct supervision, work reviewed frequently"
"0901","Biologist I","Biologist I","Biological Scientists","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Entry Level","Close - Direct supervision, work reviewed frequently"
"0902","Biologist II","Biologist II","Biological Scientists","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Entry Level","Moderate - Regular supervision with some independence"
"0905","Environ Analyst","Environmental Analyst","Environmental Scientists","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Professional","Limited - Works independently with periodic review"
"0906","Environ Insp","Environmental Inspector","Environmental Science Technicians","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Entry Level","Close - Direct supervision, work reviewed frequently"
"0907","Environ Program Mgr","Environmental Program Manager","Natural Sciences Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","General - Reports to Director/Executive"
"0910","Fish and Wild Biol","Fish and Wildlife Biologist","Zoologists and Wildlife Biologists","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Professional","Moderate - Regular supervision with some independence"
"0915","Forester I","Forester I","Foresters","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Entry Level","Close - Direct supervision, work reviewed frequently"
"0916","Forester II","Forester II","Foresters","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Entry Level","Moderate - Regular supervision with some independence"
"0920","Geologist","Geologist","Geoscientists","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Professional","Moderate - Regular supervision with some independence"
"0921","Hydrologist","Hydrologist","Hydrologists","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Professional","Moderate - Regular supervision with some independence"
"0925","Natural Resources Mgr","Natural Resources Manager","Natural Sciences Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","General - Reports to Director/Executive"
"0930","Park Mgr","Park Manager","Natural Sciences Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","General - Reports to Director/Executive"
"0931","Park Ranger","Park Ranger","Fish and Game Wardens","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Professional","Moderate - Regular supervision with some independence"
"0935","Water Quality Spec","Water Quality Specialist","Environmental Scientists","Professionals","Scientific research, analysis, environmental monitoring, and technical studies","Professional","Limited - Works independently with periodic review"
"1001","Benefits Admin","Benefits Administrator","Human Resources Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Management","Moderate - Regular supervision with some independence"
"1002","Classification Analyst","Classification Analyst","Human Resources Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Limited - Works independently with periodic review"
"1003","Compensation Analyst","Compensation Analyst","Compensation, Benefits, and Job Analysis Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Limited - Works independently with periodic review"
"1004","Employee Relations Spec","Employee Relations Specialist","Human Resources Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Limited - Works independently with periodic review"
"1005","HR Dir","HR Director","Human Resources Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Executive","Minimal - Reports to Executive Leadership"
"1006","HR Generalist","HR Generalist","Human Resources Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"1007","HR Mgr","HR Manager","Human Resources Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","General - Reports to Director/Executive"
"1010","Labor Relations Spec","Labor Relations Specialist","Labor Relations Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Limited - Works independently with periodic review"
"1015","Payroll Admin","Payroll Administrator","Payroll and Timekeeping Clerks","Administrative Support","Administrative support, records management, and office operations","Management","Moderate - Regular supervision with some independence"
"1016","Personnel Analyst","Personnel Analyst","Human Resources Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Limited - Works independently with periodic review"
"1020","Recruiter","Recruiter","Human Resources Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"1025","Training Coord","Training Coordinator","Training and Development Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"1026","Training Spec","Training Specialist","Training and Development Specialists","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Limited - Works independently with periodic review"
"1101","Building Maint Worker","Building Maintenance Worker","Maintenance and Repair Workers, General","Skilled Craft Workers","Equipment maintenance, repair, and installation services","Professional","Moderate - Regular supervision with some independence"
"1102","Carpenter","Carpenter","Carpenters","Skilled Craft Workers","Construction, building trades, and infrastructure maintenance","Professional","Moderate - Regular supervision with some independence"
"1103","Custodian","Custodian","Janitors and Cleaners","Service-Maintenance","Building maintenance, grounds keeping, and facility operations","Professional","Moderate - Regular supervision with some independence"
"1104","Electrician","Electrician","Electricians","Skilled Craft Workers","Construction, building trades, and infrastructure maintenance","Professional","Moderate - Regular supervision with some independence"
"1105","Equipment Operator","Equipment Operator","Operating Engineers and Other Construction Equipment Operators","Skilled Craft Workers","Construction, building trades, and infrastructure maintenance","Professional","Moderate - Regular supervision with some independence"
"1106","Groundskeeper","Groundskeeper","Landscaping and Groundskeeping Workers","Service-Maintenance","Building maintenance, grounds keeping, and facility operations","Professional","Moderate - Regular supervision with some independence"
"1107","Heavy Equipment Mechanic","Heavy Equipment Mechanic","Mobile Heavy Equipment Mechanics","Skilled Craft Workers","Equipment maintenance, repair, and installation services","Professional","Moderate - Regular supervision with some independence"
"1108","Highway Maint Worker","Highway Maintenance Worker","Highway Maintenance Workers","Skilled Craft Workers","Construction, building trades, and infrastructure maintenance","Professional","Moderate - Regular supervision with some independence"
"1110","HVAC Tech","HVAC Technician","Heating, Air Conditioning, and Refrigeration Mechanics","Skilled Craft Workers","Equipment maintenance, repair, and installation services","Technical","Moderate - Regular supervision with some independence"
"1115","Locksmith","Locksmith","Locksmiths and Safe Repairers","Skilled Craft Workers","Equipment maintenance, repair, and installation services","Professional","Moderate - Regular supervision with some independence"
"1116","Maint Supv","Maintenance Supervisor","First-Line Supervisors of Mechanics","Skilled Craft Workers","Equipment maintenance, repair, and installation services","Supervisory","General - Reports to Manager"
"1120","Mechanic I","Mechanic I","Automotive Service Technicians and Mechanics","Skilled Craft Workers","Equipment maintenance, repair, and installation services","Entry Level","Close - Direct supervision, work reviewed frequently"
"1121","Mechanic II","Mechanic II","Automotive Service Technicians and Mechanics","Skilled Craft Workers","Equipment maintenance, repair, and installation services","Entry Level","Moderate - Regular supervision with some independence"
"1125","Painter","Painter","Painters, Construction and Maintenance","Skilled Craft Workers","Construction, building trades, and infrastructure maintenance","Professional","Moderate - Regular supervision with some independence"
"1130","Plumber","Plumber","Plumbers, Pipefitters, and Steamfitters","Skilled Craft Workers","Construction, building trades, and infrastructure maintenance","Professional","Moderate - Regular supervision with some independence"
"1135","Welder","Welder","Welders, Cutters, Solderers, and Brazers","Skilled Craft Workers","Production operations, manufacturing, and quality control","Professional","Moderate - Regular supervision with some independence"
"1201","Bus Driver","Bus Driver","Bus Drivers, Transit and Intercity","Service-Maintenance","Transportation, material handling, and logistics operations","Professional","Moderate - Regular supervision with some independence"
"1202","CDL Driver","CDL Driver","Heavy and Tractor-Trailer Truck Drivers","Service-Maintenance","Transportation, material handling, and logistics operations","Professional","Moderate - Regular supervision with some independence"
"1203","Dispatcher","Dispatcher","Dispatchers","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"1204","Fleet Mgr","Fleet Manager","Transportation, Storage, and Distribution Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","General - Reports to Director/Executive"
"1205","School Bus Driver","School Bus Driver","Bus Drivers, School","Service-Maintenance","Transportation, material handling, and logistics operations","Professional","Moderate - Regular supervision with some independence"
"1206","Trans Mgr","Transportation Manager","Transportation, Storage, and Distribution Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","General - Reports to Director/Executive"
"1207","Vehicle Insp","Vehicle Inspector","Transportation Inspectors","Service-Maintenance","Transportation, material handling, and logistics operations","Entry Level","Close - Direct supervision, work reviewed frequently"
"1301","Communications Dir","Communications Director","Public Relations Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Executive","Minimal - Reports to Executive Leadership"
"1302","Graphic Designer","Graphic Designer","Graphic Designers","Professionals","Communications, media production, design, and public relations","Professional","Moderate - Regular supervision with some independence"
"1303","Media Relations Spec","Media Relations Specialist","Public Relations Specialists","Professionals","Communications, media production, design, and public relations","Professional","Limited - Works independently with periodic review"
"1304","Public Info Ofcr","Public Information Officer","Public Relations Specialists","Professionals","Communications, media production, design, and public relations","Entry Level","Close - Direct supervision, work reviewed frequently"
"1305","Social Media Coord","Social Media Coordinator","Public Relations Specialists","Professionals","Communications, media production, design, and public relations","Professional","Moderate - Regular supervision with some independence"
"1306","Web Content Mgr","Web Content Manager","Web Developers","Technicians","Computer systems design, programming, data analysis, and technical support","Management","General - Reports to Director/Executive"
